DATE,PROVIDER,PROVIDER NAME,DENOMINATOR,OBSERVED,EXPECTED,VALUE,PO_LL,PO_UL,OD_LL,OD_UL,OD_BANDING
2011-10-01,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,92238,3267,2849.8579,1.1464,0.9431,1.0592,0.8831,1.1324,1
2011-10-01,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,94041,3606,3256.7675,1.1072,0.9467,1.0553,0.8837,1.1316,2
2011-10-01,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,154990,4559,4309.5472,1.0579,0.9536,1.048,0.8847,1.1303,2
2011-10-01,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,64968,2260,2172.4019,1.0403,0.935,1.0681,0.8816,1.1343,2
2011-10-01,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,51038,1776,1665.0596,1.0666,0.926,1.0781,0.8798,1.1367,2
2011-10-01,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,67500,2550,2153.9006,1.1839,0.9347,1.0684,0.8816,1.1343,1
2011-10-01,RWJ,STOCKPORT NHS FOUNDATION TRUST,60013,1639,1807.0498,0.907,0.9289,1.0748,0.8804,1.1359,2
2011-10-01,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,76008,2681,2442.3769,1.0977,0.9386,1.0641,0.8823,1.1334,2
2011-10-01,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,52233,1639,1612.9598,1.0161,0.9248,1.0794,0.8795,1.137,2
2011-10-01,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,77580,2308,2249.5713,1.026,0.9361,1.0669,0.8818,1.134,2
2011-10-01,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,134293,4281,4424.8124,0.9675,0.9542,1.0473,0.8848,1.1302,2
2011-10-01,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,60893,2756,2528.6188,1.0899,0.9397,1.063,0.8825,1.1332,2
2011-10-01,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,95706,3095,2928.2833,1.0569,0.9439,1.0584,0.8832,1.1322,2
2011-10-01,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,67961,2370,2339.2066,1.0132,0.9373,1.0656,0.8821,1.1337,2
2011-10-01,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,78684,2365,2335.5809,1.0126,0.9373,1.0656,0.8821,1.1337,2
2011-10-01,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,54063,2371,2031.1525,1.1673,0.9328,1.0705,0.8812,1.1348,1
2011-10-01,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,77082,2276,2321.2013,0.9805,0.9371,1.0658,0.882,1.1338,2
2011-10-01,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,87209,2800,2929.6406,0.9557,0.9439,1.0584,0.8832,1.1322,2
2011-10-01,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,52375,1667,1491.729,1.1175,0.9219,1.0826,0.8788,1.1379,2
2011-10-01,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,79750,2607,2289.6268,1.1386,0.9367,1.0663,0.8819,1.1339,1
2011-10-01,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,61672,2422,2168.4863,1.1169,0.935,1.0682,0.8816,1.1343,2
2011-10-01,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,109349,2251,3004.7237,0.7492,0.9446,1.0577,0.8833,1.1321,3
2011-10-01,RYQ,SOUTH LONDON HEALTHCARE NHS TRUST,102594,3044,3366.2353,0.9043,0.9476,1.0544,0.8838,1.1314,2
2011-10-01,RYR,WESTERN SUSSEX HOSPITALS NHS TRUST,76167,3161,2790.6447,1.1327,0.9425,1.0599,0.883,1.1325,1
2012-01-01,5QT,ISLE OF WIGHT NHS PRIMARY CARE TRUST,19022,891,769.2218,1.1583,0.8923,1.1165,0.8705,1.1488,1
2012-01-01,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,44718,1330,1466.9162,0.9067,0.9213,1.0833,0.8782,1.1387,2
2012-01-01,RA3,WESTON AREA HEALTH NHS TRUST,18443,997,909.8379,1.0958,0.9007,1.1067,0.8729,1.1456,2
2012-01-01,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,22960,913,840.8529,1.0858,0.8968,1.1112,0.8718,1.1471,2
